date,hour,location_id,location_name,zone,congestion_score,avg_speed_kmph,violations,accident_count,accident_severity,rain_flag,crowd_score,special_event,historical_risk,risk_score,risk_level
2025-01-01,20,J006,Munje Square,Sitabuldi,29.0,39.4,4,0,0,0,4.3,0,18.6,16.26,Green
2025-01-02,8,J001,Variety Square,Sitabuldi,61.2,18.2,7,0,0,0,57.0,0,59.8,40.39,Yellow
2025-01-02,8,J002,Panchsheel Square,Sitabuldi,87.8,17.8,10,0,0,1,45.9,0,22.2,56.33,Orange
2025-01-02,8,J003,Jhansi Rani Square,Sitabuldi,55.3,29.5,4,0,0,0,70.1,0,35.3,34.86,Yellow
2025-01-02,8,J004,GPO Square,Sitabuldi,68.8,28.8,3,0,0,0,53.7,0,25.7,34.48,Yellow
2025-01-02,8,J005,Zero Mile,Sitabuldi,85.9,11.4,8,0,0,0,65.0,0,39.9,49.52,Yellow
2025-01-02,8,J006,Munje Square,Sitabuldi,81.1,15.6,5,0,0,0,69.3,0,33.5,43.9,Yellow
2025-01-02,9,J001,Variety Square,Sitabuldi,69.2,24.7,11,0,0,0,61.5,0,43.3,47.14,Yellow
2025-01-02,9,J002,Panchsheel Square,Sitabuldi,94.2,24.8,9,0,0,0,76.1,0,50.1,55.69,Orange
2025-01-02,9,J003,Jhansi Rani Square,Sitabuldi,69.7,24.9,7,0,0,0,78.5,0,38.5,45.09,Yellow
2025-01-02,9,J004,GPO Square,Sitabuldi,52.7,32.5,8,0,0,0,48.7,0,41.7,37.21,Yellow
2025-01-02,9,J005,Zero Mile,Sitabuldi,72.7,25.8,11,0,0,0,88.1,0,24.5,51.24,Orange
2025-01-02,9,J006,Munje Square,Sitabuldi,57.7,26.0,3,0,0,0,91.6,0,36.9,37.39,Yellow
2025-01-02,10,J001,Variety Square,Sitabuldi,47.5,45.5,5,0,0,0,35.3,0,54.0,29.73,Yellow
2025-01-02,10,J002,Panchsheel Square,Sitabuldi,12.9,46.5,1,0,0,0,22.5,0,60.0,11.76,Green
2025-01-02,10,J003,Jhansi Rani Square,Sitabuldi,35.9,34.2,1,0,0,0,36.1,0,15.3,18.45,Green
2025-01-02,10,J004,GPO Square,Sitabuldi,41.8,33.7,6,0,0,0,27.2,0,8.0,26.03,Yellow
2025-01-02,10,J005,Zero Mile,Sitabuldi,29.5,36.3,1,0,0,0,22.8,0,27.7,15.16,Green
2025-01-02,10,J006,Munje Square,Sitabuldi,19.0,43.5,4,0,0,1,36.3,0,25.1,25.38,Yellow
2025-01-02,13,J001,Variety Square,Sitabuldi,48.0,34.9,5,0,0,0,29.3,0,39.6,28.26,Yellow
2025-01-02,13,J002,Panchsheel Square,Sitabuldi,33.4,36.6,4,0,0,0,56.0,0,69.8,27.91,Yellow
2025-01-02,13,J003,Jhansi Rani Square,Sitabuldi,50.8,27.1,1,0,0,0,51.0,0,43.9,26.59,Yellow
2025-01-02,13,J004,GPO Square,Sitabuldi,46.3,31.7,5,0,0,0,22.2,0,54.4,27.45,Yellow
2025-01-02,13,J005,Zero Mile,Sitabuldi,75.6,23.8,5,0,0,0,21.6,0,49.1,35.89,Yellow
2025-01-02,13,J006,Munje Square,Sitabuldi,37.8,35.5,4,0,0,0,43.0,0,43.6,25.95,Yellow
2025-01-02,17,J001,Variety Square,Sitabuldi,72.4,27.8,11,0,0,0,73.8,0,51.5,50.38,Orange
2025-01-02,17,J002,Panchsheel Square,Sitabuldi,81.4,21.7,7,0,0,0,86.0,0,44.0,50.0,Orange
2025-01-02,17,J003,Jhansi Rani Square,Sitabuldi,53.3,26.9,6,0,0,0,53.4,0,11.8,33.61,Yellow
2025-01-02,17,J004,GPO Square,Sitabuldi,68.9,30.1,10,0,0,0,61.8,0,28.9,46.4,Yellow
2025-01-02,17,J005,Zero Mile,Sitabuldi,60.9,30.7,12,0,0,0,80.4,1,30.3,52.1,Orange
2025-01-02,17,J006,Munje Square,Sitabuldi,52.9,32.9,7,0,0,0,49.4,0,55.2,36.55,Yellow
2025-01-02,18,J001,Variety Square,Sitabuldi,66.7,28.4,8,0,0,0,48.2,0,64.7,42.48,Yellow
2025-01-02,18,J002,Panchsheel Square,Sitabuldi,76.4,27.4,9,0,0,0,55.1,0,36.2,46.5,Yellow
2025-01-02,18,J003,Jhansi Rani Square,Sitabuldi,70.5,25.7,4,1,0,0,56.7,0,34.8,37.4,Yellow
2025-01-02,18,J004,GPO Square,Sitabuldi,67.5,25.4,11,0,0,0,50.2,0,38.2,44.7,Yellow
2025-01-02,18,J005,Zero Mile,Sitabuldi,76.1,22.1,11,0,0,0,55.4,0,19.9,47.14,Yellow
2025-01-02,18,J006,Munje Square,Sitabuldi,56.1,39.9,4,0,0,0,58.5,0,18.8,32.54,Yellow
2025-01-02,19,J001,Variety Square,Sitabuldi,71.2,26.7,5,0,0,0,66.6,0,57.4,41.72,Yellow
2025-01-02,19,J002,Panchsheel Square,Sitabuldi,92.0,22.6,7,0,0,0,67.6,0,48.8,50.67,Orange
2025-01-02,19,J003,Jhansi Rani Square,Sitabuldi,58.9,26.3,7,0,0,1,19.5,0,23.7,39.27,Yellow
2025-01-02,19,J004,GPO Square,Sitabuldi,68.3,31.3,8,0,0,0,61.6,0,41.9,43.83,Yellow
2025-01-02,19,J005,Zero Mile,Sitabuldi,69.4,28.1,10,0,0,0,87.3,0,28.4,50.34,Orange
2025-01-02,19,J006,Munje Square,Sitabuldi,58.1,26.9,6,0,0,0,57.9,0,28.0,36.52,Yellow
2025-01-02,20,J001,Variety Square,Sitabuldi,51.8,33.8,2,0,0,0,35.4,0,42.8,25.98,Yellow
2025-01-02,20,J002,Panchsheel Square,Sitabuldi,47.5,31.9,4,0,0,0,34.6,0,74.0,29.13,Yellow
2025-01-02,20,J003,Jhansi Rani Square,Sitabuldi,44.5,32.0,6,0,0,0,0.0,0,45.4,24.63,Green
2025-01-02,20,J004,GPO Square,Sitabuldi,38.2,25.8,3,0,0,0,22.8,0,42.8,21.54,Green
2025-01-02,20,J005,Zero Mile,Sitabuldi,69.5,24.9,4,0,0,0,39.1,0,49.6,35.21,Yellow
2025-01-02,20,J006,Munje Square,Sitabuldi,18.2,41.7,1,0,0,0,39.9,0,42.9,15.08,Green
2025-01-03,8,J001,Variety Square,Sitabuldi,76.0,26.3,8,0,0,0,58.0,0,47.0,45.86,Yellow
2025-01-03,8,J002,Panchsheel Square,Sitabuldi,49.6,33.5,7,0,0,0,53.2,0,54.5,36.09,Yellow
2025-01-03,8,J003,Jhansi Rani Square,Sitabuldi,88.9,24.5,16,0,0,1,66.1,0,27.0,59.94,Orange
2025-01-03,8,J004,GPO Square,Sitabuldi,91.2,16.7,8,0,0,1,49.5,0,46.3,56.1,Orange
2025-01-03,8,J005,Zero Mile,Sitabuldi,78.8,22.8,8,0,0,0,56.1,0,35.5,45.82,Yellow
2025-01-03,8,J006,Munje Square,Sitabuldi,90.0,19.9,7,0,0,0,58.5,0,32.7,47.92,Yellow
2025-01-03,9,J001,Variety Square,Sitabuldi,50.3,36.4,5,0,0,0,54.5,0,42.9,32.9,Yellow
2025-01-03,9,J002,Panchsheel Square,Sitabuldi,76.6,23.1,15,0,0,0,80.3,0,49.8,52.52,Orange
2025-01-03,9,J003,Jhansi Rani Square,Sitabuldi,66.1,26.2,7,0,0,0,75.8,0,21.5,42.79,Yellow
2025-01-03,9,J004,GPO Square,Sitabuldi,71.7,22.6,9,0,0,0,65.9,0,35.5,46.67,Yellow
2025-01-03,9,J005,Zero Mile,Sitabuldi,37.4,35.9,5,0,0,0,47.1,0,53.7,28.47,Yellow
2025-01-03,9,J006,Munje Square,Sitabuldi,40.0,30.1,6,0,0,0,70.0,0,41.7,33.58,Yellow
2025-01-03,10,J001,Variety Square,Sitabuldi,24.5,48.2,6,0,0,0,59.5,0,47.2,27.65,Yellow
2025-01-03,10,J002,Panchsheel Square,Sitabuldi,30.0,40.6,1,0,0,0,28.4,0,33.5,16.42,Green
2025-01-03,10,J003,Jhansi Rani Square,Sitabuldi,31.1,41.1,3,0,0,0,18.1,0,30.4,18.05,Green
2025-01-03,10,J004,GPO Square,Sitabuldi,44.4,36.7,4,0,0,0,35.5,0,50.3,27.18,Yellow
2025-01-03,10,J005,Zero Mile,Sitabuldi,47.2,37.7,3,0,0,0,52.0,0,26.2,27.76,Yellow
2025-01-03,10,J006,Munje Square,Sitabuldi,21.2,35.6,4,0,0,0,15.8,0,37.3,16.6,Green
2025-01-03,13,J001,Variety Square,Sitabuldi,61.0,22.8,3,0,0,0,40.2,0,47.0,31.17,Yellow
2025-01-03,13,J002,Panchsheel Square,Sitabuldi,43.2,31.5,3,0,0,0,35.8,0,59.1,25.79,Yellow
2025-01-03,13,J003,Jhansi Rani Square,Sitabuldi,44.9,38.2,2,0,0,0,20.0,0,39.8,21.46,Green
2025-01-03,13,J004,GPO Square,Sitabuldi,46.2,37.5,7,0,0,0,36.0,0,36.6,31.6,Yellow
2025-01-03,13,J005,Zero Mile,Sitabuldi,39.3,32.6,5,0,0,0,48.5,0,39.5,28.55,Yellow
2025-01-03,13,J006,Munje Square,Sitabuldi,25.5,39.4,2,0,0,0,40.1,0,29.6,18.14,Green
2025-01-03,17,J001,Variety Square,Sitabuldi,45.0,34.1,6,0,0,0,50.3,0,64.7,33.29,Yellow
2025-01-03,17,J002,Panchsheel Square,Sitabuldi,78.6,20.7,5,0,0,0,63.2,0,35.0,42.31,Yellow
2025-01-03,17,J003,Jhansi Rani Square,Sitabuldi,62.0,37.7,8,0,0,0,57.0,0,31.0,40.71,Yellow
2025-01-03,17,J004,GPO Square,Sitabuldi,78.6,22.4,7,0,0,0,80.3,0,39.2,48.09,Yellow
2025-01-03,17,J005,Zero Mile,Sitabuldi,61.1,28.8,10,0,0,0,69.1,0,22.3,44.8,Yellow
2025-01-03,17,J006,Munje Square,Sitabuldi,57.4,27.3,10,0,0,0,38.8,0,28.7,39.47,Yellow
2025-01-03,18,J001,Variety Square,Sitabuldi,53.1,26.8,6,0,0,0,36.7,0,70.5,33.97,Yellow
2025-01-03,18,J002,Panchsheel Square,Sitabuldi,73.5,19.1,11,0,0,1,59.9,0,53.3,55.68,Orange
2025-01-03,18,J003,Jhansi Rani Square,Sitabuldi,41.2,33.5,7,0,0,0,68.6,0,38.0,35.05,Yellow
2025-01-03,18,J004,GPO Square,Sitabuldi,83.4,13.5,11,0,0,0,72.1,0,48.3,53.26,Orange
2025-01-03,18,J005,Zero Mile,Sitabuldi,55.9,29.2,10,0,0,0,33.0,0,22.3,37.83,Yellow
2025-01-03,18,J006,Munje Square,Sitabuldi,69.5,21.3,4,0,0,1,47.5,0,36.0,42.78,Yellow
2025-01-03,19,J001,Variety Square,Sitabuldi,74.9,18.4,5,0,0,0,53.3,0,52.8,40.61,Yellow
2025-01-03,19,J002,Panchsheel Square,Sitabuldi,60.6,26.2,7,0,0,0,61.8,0,25.9,39.24,Yellow
2025-01-03,19,J003,Jhansi Rani Square,Sitabuldi,53.0,31.8,6,0,0,0,68.2,0,32.6,36.77,Yellow
2025-01-03,19,J004,GPO Square,Sitabuldi,60.7,32.9,4,0,0,0,67.8,0,28.6,35.81,Yellow
2025-01-03,19,J005,Zero Mile,Sitabuldi,77.3,11.6,9,0,0,0,49.5,0,25.8,45.4,Yellow
2025-01-03,19,J006,Munje Square,Sitabuldi,80.0,15.5,13,0,0,0,43.6,0,27.5,46.92,Yellow
2025-01-03,20,J001,Variety Square,Sitabuldi,42.8,35.3,6,0,0,0,23.5,0,46.7,27.71,Yellow
2025-01-03,20,J002,Panchsheel Square,Sitabuldi,31.0,40.0,1,0,0,0,30.8,0,46.3,17.72,Green
2025-01-03,20,J003,Jhansi Rani Square,Sitabuldi,67.4,21.1,2,0,0,0,38.1,0,31.3,30.51,Yellow
2025-01-03,20,J004,GPO Square,Sitabuldi,38.2,32.6,0,0,0,0,20.5,0,21.7,15.62,Green
2025-01-03,20,J005,Zero Mile,Sitabuldi,50.2,32.9,7,0,0,0,39.5,0,21.1,32.54,Yellow
2025-01-03,20,J006,Munje Square,Sitabuldi,40.6,30.6,5,0,0,0,37.9,0,37.7,27.24,Yellow
2025-01-04,8,J001,Variety Square,Sitabuldi,69.7,27.6,11,0,0,1,62.0,0,58.8,55.17,Orange
2025-01-04,8,J002,Panchsheel Square,Sitabuldi,75.9,19.7,10,0,0,0,80.9,0,84.3,54.13,Orange
2025-01-04,8,J003,Jhansi Rani Square,Sitabuldi,61.8,30.6,11,0,0,0,53.8,0,21.1,42.67,Yellow
2025-01-04,8,J004,GPO Square,Sitabuldi,57.1,30.0,5,0,0,0,62.9,0,50.3,36.56,Yellow
2025-01-04,8,J005,Zero Mile,Sitabuldi,59.6,27.1,13,0,0,1,55.0,0,31.9,49.71,Yellow
2025-01-04,8,J006,Munje Square,Sitabuldi,45.3,30.3,4,0,0,0,61.1,0,39.3,30.72,Yellow
2025-01-04,9,J001,Variety Square,Sitabuldi,72.6,27.0,8,0,0,0,53.2,0,53.9,44.45,Yellow
2025-01-04,9,J002,Panchsheel Square,Sitabuldi,55.7,31.2,8,0,0,0,53.4,0,51.5,39.31,Yellow
2025-01-04,9,J003,Jhansi Rani Square,Sitabuldi,72.0,21.6,8,0,0,0,83.4,0,45.6,48.38,Yellow
2025-01-04,9,J004,GPO Square,Sitabuldi,79.7,33.7,10,0,0,0,98.2,0,40.8,55.68,Orange
2025-01-04,9,J005,Zero Mile,Sitabuldi,46.0,26.3,6,0,0,0,63.1,0,15.7,33.04,Yellow
2025-01-04,9,J006,Munje Square,Sitabuldi,61.2,27.6,10,0,0,0,83.3,0,59.3,48.82,Yellow
2025-01-04,10,J001,Variety Square,Sitabuldi,34.2,37.1,8,0,0,0,74.3,0,53.3,36.08,Yellow
2025-01-04,10,J002,Panchsheel Square,Sitabuldi,17.8,37.1,2,0,0,0,18.8,0,46.3,13.48,Green
2025-01-04,10,J003,Jhansi Rani Square,Sitabuldi,21.9,35.4,2,0,0,1,34.0,0,52.0,24.27,Green
2025-01-04,10,J004,GPO Square,Sitabuldi,32.7,40.2,3,0,0,0,44.9,0,9.5,21.53,Green
2025-01-04,10,J005,Zero Mile,Sitabuldi,36.1,35.7,2,0,0,0,26.8,0,43.0,19.99,Green
2025-01-04,10,J006,Munje Square,Sitabuldi,43.5,37.7,3,0,0,0,57.2,0,38.2,28.03,Yellow
2025-01-04,13,J001,Variety Square,Sitabuldi,38.2,37.6,4,0,0,1,56.6,0,44.9,35.19,Yellow
2025-01-04,13,J002,Panchsheel Square,Sitabuldi,47.9,43.0,2,0,0,0,0.0,0,44.8,19.61,Green
2025-01-04,13,J003,Jhansi Rani Square,Sitabuldi,26.6,47.2,3,0,0,0,36.0,0,44.0,20.08,Green
2025-01-04,13,J004,GPO Square,Sitabuldi,29.7,40.1,3,0,0,0,0.0,0,44.2,15.61,Green
2025-01-04,13,J005,Zero Mile,Sitabuldi,56.0,30.7,3,0,0,1,36.5,0,71.2,37.35,Yellow
2025-01-04,13,J006,Munje Square,Sitabuldi,49.7,35.5,3,0,0,0,31.8,0,29.7,25.68,Yellow
2025-01-04,17,J001,Variety Square,Sitabuldi,72.2,27.5,14,0,0,0,44.1,0,59.5,46.26,Yellow
2025-01-04,17,J002,Panchsheel Square,Sitabuldi,57.4,29.2,10,0,0,0,31.0,0,58.0,39.78,Yellow
2025-01-04,17,J003,Jhansi Rani Square,Sitabuldi,60.3,20.9,5,0,0,0,70.6,0,32.6,37.82,Yellow
2025-01-04,17,J004,GPO Square,Sitabuldi,65.2,24.3,8,0,0,0,34.1,0,51.3,39.24,Yellow
2025-01-04,17,J005,Zero Mile,Sitabuldi,49.8,29.5,6,0,0,0,49.6,0,37.8,33.28,Yellow
2025-01-04,17,J006,Munje Square,Sitabuldi,38.2,39.9,8,0,0,0,70.3,0,26.3,35.31,Yellow
2025-01-04,18,J001,Variety Square,Sitabuldi,73.3,35.0,5,0,0,0,52.6,0,51.1,39.93,Yellow
2025-01-04,18,J002,Panchsheel Square,Sitabuldi,51.9,24.0,5,0,0,0,83.8,0,57.9,38.55,Yellow
2025-01-04,18,J003,Jhansi Rani Square,Sitabuldi,54.1,29.0,11,0,0,0,61.9,0,48.2,42.92,Yellow
2025-01-04,18,J004,GPO Square,Sitabuldi,61.0,31.8,9,0,0,0,68.7,0,52.6,44.73,Yellow
2025-01-04,18,J005,Zero Mile,Sitabuldi,83.8,22.6,6,0,0,0,85.8,0,44.7,49.26,Yellow
2025-01-04,18,J006,Munje Square,Sitabuldi,57.8,36.6,4,0,0,1,53.3,0,51.0,40.88,Yellow
2025-01-04,19,J001,Variety Square,Sitabuldi,78.2,25.1,10,0,0,0,59.2,0,44.2,49.55,Yellow
2025-01-04,19,J002,Panchsheel Square,Sitabuldi,91.3,11.8,16,0,0,0,27.4,0,55.6,49.29,Yellow
2025-01-04,19,J003,Jhansi Rani Square,Sitabuldi,70.6,31.3,12,0,0,0,65.6,0,45.5,48.29,Yellow
2025-01-04,19,J004,GPO Square,Sitabuldi,93.4,20.0,11,0,0,0,56.5,0,47.9,53.88,Orange
2025-01-04,19,J005,Zero Mile,Sitabuldi,36.0,39.8,11,0,0,0,84.4,0,55.6,41.23,Yellow
2025-01-04,19,J006,Munje Square,Sitabuldi,60.4,29.0,9,0,0,0,58.4,0,26.4,41.69,Yellow
2025-01-04,20,J001,Variety Square,Sitabuldi,55.7,29.5,2,0,0,0,0.8,0,65.4,23.11,Green
2025-01-04,20,J002,Panchsheel Square,Sitabuldi,33.7,34.9,0,0,0,0,43.1,0,37.9,18.47,Green
2025-01-04,20,J003,Jhansi Rani Square,Sitabuldi,28.8,33.1,2,0,0,1,23.2,0,46.3,24.43,Green
2025-01-04,20,J004,GPO Square,Sitabuldi,27.0,41.3,3,0,0,0,57.2,0,35.3,22.96,Green
2025-01-04,20,J005,Zero Mile,Sitabuldi,23.6,34.5,2,0,0,0,12.0,0,25.6,13.17,Green
2025-01-04,20,J006,Munje Square,Sitabuldi,28.5,44.5,5,0,0,1,56.4,0,40.5,33.53,Yellow
2025-01-05,8,J001,Variety Square,Sitabuldi,67.0,15.1,8,0,0,1,40.5,0,52.1,47.77,Yellow
2025-01-05,8,J002,Panchsheel Square,Sitabuldi,35.0,37.5,11,0,0,0,100.0,0,66.7,43.83,Yellow
2025-01-05,8,J003,Jhansi Rani Square,Sitabuldi,70.7,22.0,5,0,0,0,67.0,0,33.3,40.43,Yellow
2025-01-05,8,J004,GPO Square,Sitabuldi,62.7,32.2,9,0,0,0,91.5,0,47.9,48.44,Yellow
2025-01-05,8,J005,Zero Mile,Sitabuldi,75.5,26.1,7,0,0,0,69.0,0,50.8,46.05,Yellow
2025-01-05,8,J006,Munje Square,Sitabuldi,62.4,28.1,12,0,0,0,77.5,0,48.5,47.77,Yellow
2025-01-05,9,J001,Variety Square,Sitabuldi,48.2,33.0,4,0,0,0,52.4,1,43.6,35.74,Yellow
2025-01-05,9,J002,Panchsheel Square,Sitabuldi,53.0,25.2,4,0,0,1,60.2,0,48.6,40.35,Yellow
2025-01-05,9,J003,Jhansi Rani Square,Sitabuldi,89.9,12.6,10,0,0,0,70.4,0,46.8,54.87,Orange
2025-01-05,9,J004,GPO Square,Sitabuldi,45.3,31.2,6,0,0,0,58.9,0,39.5,33.41,Yellow
2025-01-05,9,J005,Zero Mile,Sitabuldi,47.7,26.9,10,0,0,0,62.1,0,11.1,39.17,Yellow
2025-01-05,9,J006,Munje Square,Sitabuldi,52.9,27.7,8,0,0,0,45.3,1,43.1,42.08,Yellow
2025-01-05,10,J001,Variety Square,Sitabuldi,24.1,37.7,1,0,0,0,49.6,0,43.3,18.31,Green
2025-01-05,10,J002,Panchsheel Square,Sitabuldi,49.3,30.1,4,0,0,0,69.0,0,50.0,33.64,Yellow
2025-01-05,10,J003,Jhansi Rani Square,Sitabuldi,39.4,43.2,1,0,0,1,22.0,0,40.7,25.64,Yellow
2025-01-05,10,J004,GPO Square,Sitabuldi,24.3,37.5,3,0,0,0,50.7,0,52.1,22.0,Green
2025-01-05,10,J005,Zero Mile,Sitabuldi,22.7,29.8,1,0,0,0,64.6,0,53.2,20.65,Green
2025-01-05,10,J006,Munje Square,Sitabuldi,29.6,38.0,5,0,0,0,29.1,0,7.8,21.13,Green
2025-01-05,13,J001,Variety Square,Sitabuldi,18.7,44.1,1,0,0,0,34.5,0,53.7,14.98,Green
2025-01-05,13,J002,Panchsheel Square,Sitabuldi,34.4,30.6,3,0,0,0,34.4,0,43.0,22.14,Green
2025-01-05,13,J003,Jhansi Rani Square,Sitabuldi,38.8,32.5,4,0,0,0,11.2,0,32.6,20.95,Green
2025-01-05,13,J004,GPO Square,Sitabuldi,57.8,30.4,4,0,0,0,13.2,0,66.0,28.62,Yellow
2025-01-05,13,J005,Zero Mile,Sitabuldi,29.0,43.7,6,0,0,0,77.5,0,33.8,31.01,Yellow
2025-01-05,13,J006,Munje Square,Sitabuldi,35.8,40.5,3,0,0,0,0.0,0,23.3,16.4,Green
2025-01-05,17,J001,Variety Square,Sitabuldi,67.0,23.5,9,0,0,0,68.8,0,51.7,46.51,Yellow
2025-01-05,17,J002,Panchsheel Square,Sitabuldi,48.5,32.2,6,0,0,0,85.6,0,62.0,39.48,Yellow
2025-01-05,17,J003,Jhansi Rani Square,Sitabuldi,47.4,32.5,7,0,0,1,54.8,0,38.0,41.85,Yellow
2025-01-05,17,J004,GPO Square,Sitabuldi,67.5,34.7,7,0,0,0,78.9,0,32.4,44.21,Yellow
2025-01-05,17,J005,Zero Mile,Sitabuldi,64.4,25.3,9,0,0,0,83.9,0,30.1,46.93,Yellow
2025-01-05,17,J006,Munje Square,Sitabuldi,69.9,21.6,3,0,0,0,62.4,0,22.5,35.94,Yellow
2025-01-05,18,J001,Variety Square,Sitabuldi,64.5,32.2,5,0,0,0,66.0,0,52.2,39.37,Yellow
